experiment,task_id,goal,success,reward,steps,time,error
alfworld_reflexion,1,,True,1.0,4,3.8,
alfworld_reflexion,2,,True,1.0,5,5.1,
alfworld_reflexion,3,,True,1.0,4,4.1,
alfworld_reflexion,4,,True,1.0,5,4.9,
alfworld_reflexion,5,,True,1.0,4,3.7,
alfworld_reflexion,6,,True,1.0,5,4.6,
alfworld_reflexion,7,,True,1.0,5,4.5,
alfworld_reflexion,8,,True,1.0,9,9.1,
alfworld_reflexion,9,,True,1.0,4,4.0,
alfworld_reflexion,10,,True,1.0,6,6.0,
alfworld_reflexion,11,,True,1.0,5,4.9,
alfworld_reflexion,12,,True,1.0,6,5.9,
alfworld_reflexion,13,,True,1.0,4,3.4,
alfworld_reflexion,14,,True,1.0,4,3.7,
alfworld_reflexion,15,,True,1.0,6,5.2,
alfworld_reflexion,16,,True,1.0,5,5.1,
alfworld_reflexion,17,,True,1.0,6,5.3,
alfworld_reflexion,18,,True,1.0,10,9.9,
alfworld_reflexion,19,,True,1.0,5,4.3,
alfworld_reflexion,20,,True,1.0,5,4.9,
alfworld_reflexion,21,,True,1.0,6,5.6,
alfworld_reflexion,22,,True,1.0,6,6.3,
alfworld_reflexion,23,,True,1.0,5,4.1,
alfworld_reflexion,24,,True,1.0,8,7.2,
alfworld_reflexion,25,,True,1.0,5,5.5,
alfworld_reflexion,26,,True,1.0,8,8.8,
alfworld_reflexion,27,,True,1.0,10,10.4,
alfworld_reflexion,28,,True,1.0,12,11.9,
alfworld_reflexion,29,,True,1.0,9,8.5,
alfworld_reflexion,30,,True,1.0,11,10.3,
alfworld_reflexion,31,,True,1.0,3,4.0,
alfworld_reflexion,32,,True,1.0,3,2.7,
alfworld_reflexion,33,,True,1.0,4,3.9,
alfworld_reflexion,34,,True,1.0,4,3.9,
alfworld_reflexion,35,,True,1.0,2,1.8,
alfworld_reflexion,36,,True,1.0,3,2.9,
