experiment,task_id,goal,success,reward,steps,time,error
webshop_reflexion,,I need grey boots by Nike size 10 under 93 dollars,True,0.9983333333333334,3,2.8,
webshop_reflexion,,I need brown loafers by Reebok size 7 under 125 dollars,True,0.9900000000000001,3,2.6,
webshop_reflexion,,I need grey speaker by Sony under 344 dollars,True,0.9836363636363636,3,2.7,
webshop_reflexion,,I need black flats by Converse size 7 under 104 dollars,True,0.9933333333333333,3,2.9,
webshop_reflexion,,I need silver earbuds by Dell under 316 dollars,True,0.9945454545454545,3,2.3,
webshop_reflexion,,I need white measuring by Lodge under 22 dollars,True,0.975,3,3.2,
webshop_reflexion,,I need white headphones by Dell under 288 dollars,True,0.990909090909091,3,2.6,
webshop_reflexion,,I need navy t-shirt by Adidas size S under 74 dollars,True,0.9933333333333333,3,2.6,
webshop_reflexion,,I need black headphones by Apple under 139 dollars,True,0.9781818181818182,3,2.4,
webshop_reflexion,,I need silver keyboard by JBL under 125 dollars,True,0.9927272727272727,3,2.7,
webshop_reflexion,,I need green hoodie by Zara size M under 93 dollars,True,0.9733333333333333,3,2.8,
webshop_reflexion,,I need grey shoes by New Balance size 7 under 134 dollars,True,0.9666666666666667,3,2.4,
webshop_reflexion,,I'm looking for a guide by Yuval Harari under 13 dollars,True,0.8675,3,2.7,
webshop_reflexion,,I need silver saucepan by Hamilton Beach under 88 dollars,True,0.9963636363636365,3,3.1,
webshop_reflexion,,I need white trainers by Reebok size 11 under 164 dollars,True,0.9966666666666667,3,2.8,
webshop_reflexion,,I need silver speaker by Sony under 456 dollars,True,0.9927272727272727,3,3.3,
webshop_reflexion,,I need white keyboard by Bose under 242 dollars,True,0.9818181818181819,3,2.5,
webshop_reflexion,,I need navy heels by New Balance size 8 under 145 dollars,True,0.98,3,2.5,
webshop_reflexion,,I'm looking for a cookbook by Haruki Murakami under 21 dollars,True,0.8425,3,3.6,
webshop_reflexion,,I need green loafers by New Balance size 8 under 143 dollars,True,0.985,3,2.7,
webshop_reflexion,,I need green sneakers by New Balance size 10 under 119 dollars,True,0.9933333333333333,3,3.0,
webshop_reflexion,,I need blue power by Bose under 230 dollars,True,0.98,3,3.2,
webshop_reflexion,,I need grey knife by Cuisinart under 40 dollars,True,0.9854545454545455,3,2.6,
webshop_reflexion,,I need stainless steel knife by OXO under 92 dollars,True,0.9688888888888889,3,2.9,
webshop_reflexion,,I'm looking for a textbook by George Orwell under 16 dollars,True,0.8475,3,2.8,
